Traditional,Simplified,Pinyin,Meaning
短劇,短剧,duǎnjù,"N: short play, skit [PAVC-401]"
合唱,合唱,héchàng,V: to sing in a chorus [PAVC-401]
拾玉鐲,拾玉镯,Shíyùzhuó,"N: ""Picking Up a Jade Bracelet"", name of a Peking opera (Shi Yuzhuo) [PAVC-401]"
觀賞,观赏,guānshǎng,"V: to watch and enjoy, to see and enjoy, to enjoy the sight of …  [PAVC-401]"
巷,巷,xiàng,N: lane [PAVC-401]
盡頭,尽头,jìntóu,"N: end, extremity [PAVC-401]"
皓皓,皓皓,hàohào,"SV: to be bright (""silver white""), to be brilliant, to be luminous, to be glistening [PAVC-401]"
溶解,溶解,róngjiě,"V: to dissolve, to melt [PAVC-401]"
梅花,梅花,méihuā,N: plum blossom [PAVC-401]
吐蕊,吐蕊,tǔruǐ,VO: to blossom [PAVC-401]
漫漫,漫漫,mànmàn,"SV: to be unrestrained, to be uninhibited, to be care-free [PAVC-401]"
過處,过处,guòchù,"N: mistakes, errors, faults (dictionary definition); the places that passed by (book definition) [PAVC-401]"
雞啼,鸡啼,jītí,N: cockcrow [PAVC-401]
歷盡,历尽,lìjìn,V: have intensively experienced [PAVC-401]
磨練,磨练,móliàn,"N, V: endurance, discipline; to temper or to steel oneself [PAVC-401]"
清晨,清晨,qīngchén,N: early morning [PAVC-402]
華西街,华西街,Huáxījiē,"N: night market in Wanhua district of Taipei, nicknamed the Snake Alley (～觀光夜市) [PAVC-402]"
一角,一角,yìjiǎo,N: street corner [PAVC-402]
陳述,陈述,chénshù,V: to state [PAVC-402]
意外,意外,yìwài,"SV: to be unexpected, to be unforeseen [PAVC-402]"
數量,数量,shùliàng,"N: quantity, amount [PAVC-402]"
等於,等于,děngyú,"V: to be equal to …, to be tantamount to … [PAVC-402]"
責備,责备,zébèi,"V: to blame, to reprove [PAVC-402]"
意味,意味,yìwèi,"N: meaning, significance, implication [PAVC-402]"
略,略,lüè,"A: briefly, slightly [PAVC-402]"
賠錢,赔钱,péiqián,"VO: to suffer losses in business, to compensate, to pay damages [PAVC-402]"
本錢,本钱,běnqián,N: capital [PAVC-402]
美人魚,美人鱼,měirényú,N: mermaid [PAVC-402]
美食,美食,měishí,"N: delicious food, table delicacies [PAVC-402]"
一分錢,一分钱,yìfēnqián,IE: (～一分貨) you get what you pay for [PAVC-402]
危急,危急,wéijí,"SV: to be in imminent danger, to be critical [PAVC-403]"
連詞,连词,liáncí,"N: conjunction, connective, copula (in linguistics) [PAVC-403]"
多用於,多用于,duōyòngyú,SV: to be chiefly used in [PAVC-403]
書面,书面,shūmiàn,"AT: written, in written form, in writing [PAVC-403]"
場合,场合,chǎnghé,"N: occasion, situation [PAVC-403]"
用來,用来,yònglái,SV: to be used for [PAVC-403]
連接,连接,liánjiē,"V: to join, to link [PAVC-403]"
委婉,委婉,wěiwǎn,SV: to be tactful [PAVC-403]
立刻,立刻,lìkè,"A: immediately, at once [PAVC-403]"
教育部長,教育部长,jiàoyùbùzhǎng,N: minister of education [PAVC-403]
討論會,讨论会,tǎolùnhuì,"N: discussion, symposium [PAVC-403]"
教科書,教科书,jiàokēshū,"N: textbook, manual [PAVC-403]"
理工科,理工科,lǐgōngkē,N: science and engineering department or field [PAVC-403]
文法科,文法科,wénfǎkē,"N: liberal arts and social sciences department or field (or 文藝科, perhaps a mistake in the book?) [PAVC-403]"
行政,行政,xíngzhèng,N: administration [PAVC-403]
醫科,医科,yīkē,N: department of medicine [PAVC-403]
人才,人才,réncái,N: person of ability or talent [PAVC-403]
訓練,训练,xùnliàn,"V: to train, to drill [PAVC-403]"
收入,收入,shōurù,N: income [PAVC-403]
政府機關,政府机关,zhèngfǔjīguān,"N: government agency, organ or body [PAVC-403]"
反對,反对,fǎnduì,"V: to oppose, to be against, to dispute, to combat [PAVC-403]"
至少,至少,zhìshǎo,A: at least [PAVC-403]
深夜,深夜,shēnyè,"N: deep in the night, very late at night [PAVC-403]"
收看,收看,shōukàn,"V: to tune into, to watch television programs [PAVC-403]"
台視,台视,Táishì,N: privately-owned television station in Taiwan (Taiwan Television or TTV) [PAVC-403]
中視,中视,Zhōngshì,"N: television station in Taiwan, established and owned by the 國民黨 (China Television or CTV) [PAVC-403"
華視,华视,Huáshì,"N: government-owned television station in Taiwan, established as a joint-venture between 國防部 and 教育部 (Chinese Television System or CTS) [PAVC-403]"
頒獎,颁奖,bānjiǎng,"VO: to present, to reward, to honor; (～典禮) award ceremony [PAVC-404]"
看板,看板,kànbǎn,N: bulletin board [PAVC-404]
未滿,未满,wèimǎn,"V: to be not as old as … yet, to be not as long as … [PAVC-404]"
陪伴,陪伴,péibàn,"V: to accompany, to keep company [PAVC-404]"
既定,既定,jìdìng,"AT: set, fixed, established [PAVC-404]"
超出,超出,chāochū,"RC: to overstep, to go beyond, to exceed [PAVC-404]"
進行,进行,jìnxíng,"AT, V: progressive (in linguistics); to be in progress, to go on, to carry on, to conduct"
帶來,带来,dàilái,"RC: to bring, to bring about [PAVC-404]"
名詞短語,名词短语,míngcíduǎnyǔ,N: noun phrase [PAVC-404]
預期,预期,yùqí,"V: to expect, to anticipate [PAVC-404]"
單獨,单独,dāndú,"A, AT: solely, singly, individually; alone [PAVC-404]"
指定,指定,zhǐdìng,"V: to appoint, to assign [PAVC-404]"
編劇,编剧,biānjù,"N, VO: playwright, screenwriter; to write a play or scenario [PAVC-404]"
特殊效果,特殊效果,tèshūxiàoguǒ,N: special effects [PAVC-404]
布景,布景,bùjǐng,"N: setting of a film or a stageshow, set, backdrop [PAVC-404]"
道具,道具,dàojù,"N: theatrical properties, stage properties [PAVC-404]"
精緻,精致,jīngzhì,"SV: to be fine, to be exquisite, to be delicate [PAVC-404]"
畫面,画面,huàmiàn,"N: general appearance of a picture, tableau, frame, television screen [PAVC-404]"
鏡頭,镜头,jìngtóu,"N: camera lens, shot, scene [PAVC-404]"
暴力,暴力,bàolì,"N: violence, force [PAVC-404]"
性,性,xìng,N: sex [PAVC-404]
鬼片,鬼片,guǐpiàn,N: ghost film [PAVC-404]
武打片,武打片,wǔdǎpiàn,N: martial arts film [PAVC-404]
薪傳,薪传,xīnchuán,"V: to pass down from teacher to pupil, a title of performance by 雲門舞集 [PAVC-405]"
臉譜,脸谱,liǎnpǔ,N: types of theatrical make-up [PAVC-405]
記者會,记者会,jìzhěhuì,N: press conference [PAVC-405]
劇照,剧照,jùzhào,"N: stage photo, still [PAVC-405]"
包含,包含,bāohán,"N, V: inclusion; to contain, to embody, to include"
強烈,强烈,qiángliè,"SV: to be strong, to be intense, to be violent [PAVC-405]"
在此,在此,zàicǐ,PRON: here [PAVC-405]
用於,用于,yòngyú,"V: to use in, to use on [PAVC-405]"
舉例,举例,jǔlì,VO: to give an example [PAVC-405]
憑藉,凭借,píngjiè,"V: to rely, to depend on [PAVC-405]"
分成兩組,分成两组,fēnchéngliǎngzǔ,RC: to divide into two teams or groups [PAVC-405]
默劇,默剧,mòjù,N: pantomime [PAVC-405]
木偶戲,木偶戏,mù'ǒuxì,"N: puppet show, puppet play [PAVC-405]"
歌舞劇,歌舞剧,gēwǔjù,"N: musical, song and dance drama [PAVC-405]"
話劇,话剧,huàjù,"N: modern drama, stage play [PAVC-405]"
特技表演,特技表演,tèjìbiǎoyǎn,N: acrobatics [PAVC-405]
技巧,技巧,jìqiǎo,"N: technique, skill, craftsmanship, dexterity, ingenuity [PAVC-405]"
操縱木偶,操纵木偶,cāozòngmù'ǒu,VO: to operate or control a puppet [PAVC-405]
反映,反映,fǎnyìng,"N, V: reflection; to reflect, to mirror [PAVC-405]"
人生,人生,rénshēng,N: human life [PAVC-405]
表情,表情,biǎoqíng,"N: expression, countenance, gesture [PAVC-405]"
起立,起立,qǐlì,V: to stand up [PAVC-405]
鼓掌,鼓掌,gǔzhǎng,"VO: to clap one's hands, to applaud [PAVC-405]"
紅娘,红娘,hóngniáng,"N: match-maker, also a name of a Peking opera [PAVC-405]"
美猴王,美猴王,Měihóuwáng,"N: ""The Dashing Monkey King"", name of a Peking opera [PAVC-405]"
象徵性,象征性,xiàngzhēngxìng,"N: symbolism, emblem, token, symbolic qualities [PAVC-405]"
城門,城门,chéngmén,N: city gate [PAVC-405]
人物,人物,rénwù,"N: character in literature, personage [PAVC-405]"
性格,性格,xìnggé,"N: nature, disposition, temperament [PAVC-405]"
優美,优美,yōuměi,"SV: to be graceful, to be exquisite [PAVC-405]"
邀請,邀请,yāoqǐng,"N, V: invitation; to invite [PAVC-405]"
宣導,宣导,xuāndǎo,V: to guide people by creating better understanding [PAVC-406]
衛生署,卫生署,wèishēngshǔ,N: health office; (行政院～) Taiwan Executive Yuan Department of Health [PAVC-406]
排斥,排斥,páichì,"V: to repel, to exclude, to reject [PAVC-406]"
拒絕,拒绝,jùjué,V: to refuse [PAVC-406]
濫用,滥用,lànyòng,"V: to abuse, to misuse [PAVC-406]"
覽,览,lǎn,V: to look at [PAVC-406]
賜,赐,cì,"N, V: gift from superior to inferior; to give, to grant [PAVC-406]"
遵從,遵从,zūncóng,"V: to defer to, to comply with, to follow [PAVC-406]"
高於,高于,gāoyú,"V: to exceed, to top [PAVC-406]"
另有,另有,lìngyǒu,"V: to have other (explanation, plans, etc.) [PAVC-406]"
方位詞,方位词,fāngwèicí,"N: noun of locality, ""place word"" [PAVC-406]"
歎息,叹息,tànxí,V: to sigh [PAVC-406]
哀傷,哀伤,āishāng,"SV: to be grieved, to be sad, to be distressed [PAVC-406]"
鬆一口氣,松一口气,sōngyìkǒuqì,VO: to heave a sigh of relief [PAVC-406]
對話,对话,duìhuà,"N, VO: dialogue, to carry on a dialogue [PAVC-406]"
期望,期望,qíwàng,"N, V: expectation; to expect, to hope earnestly [PAVC-402]"
忽略,忽略,hūlüè,"V: to neglect, to overlook, to lose the sight of [PAVC-406]"
勒借所,勒借所,lèjièsuǒ,"N: rehabilitation center, a clinic where addicts are detoxified (菸毒～) [PAVC-406]"
辯論,辩论,biànlùn,"N, V: argument, debate; to argue, to debate [PAVC-406]"
闖禍,闯祸,chuǎnghuò,"VO: to get into trouble, to suffer a disaster or accident [PAVC-406]"
破舊,破旧,pòjiù,"AT: old and shabby, old and dilapidated [PAVC-406]"
理,理,lǐ,"V: to take notice, to acknowledge, to pay attention [PAVC-406]"
公德心,公德心,gōngdéxīn,"N: public spirit, regard for public welfare, civil-mindedness, social conscience [PAVC-406]"
堆,堆,duī,"M: measure word for a pile or heap [PAVC-408]; V: to pile up, to heap [PAVC-406]"
隨地,随地,suídì,"N: anywhere, everywhere (used for negative sentences) [PAVC-406]"
吐痰,吐痰,tǔtán,"VO: to spit, to expectorate [PAVC-406]"
敬菸,敬烟,jìngyān,VO: to respectfully offer a cigarette to someone [PAVC-406]
人家,人家,rénjiā,PRON: other people [PAVC-406]
聲援,声援,shēngyuán,V: to give support to [PAVC-407]
防治,防治,fángzhì,"N: prevention and cure, prophylaxics and treatment [PAVC-407]"
系列,系列,xìliè,N: series (phonetic transcription of the English word) [PAVC-407]
繪,绘,huì,"V: to paint, to draw [PAVC-407]"
反駁,反驳,fǎnbó,"V: to refute, to retort, to negate [PAVC-407]"
因果,因果,yīnguǒ,N: cause and effect [PAVC-407]
情感,情感,qínggǎn,"N: emotion, feeling, friendship [PAVC-407]"
問句,问句,wènjù,"N: interrogative sentence, question sentence [PAVC-407]"
形式,形式,xíngshì,"N: form, shape [PAVC-407]"
判斷,判断,pànduàn,"N, V: judgement, predication; to judge, to determine [PAVC-407]"
涵義,涵义,hányì,"N: meaning, implication, connotation (version with the 氵 radical) [PAVC-407]"
工作狂,工作狂,gōngzuòkuáng,"N: workaholic, work addict [PAVC-407]"
勢利,势利,shìlì,SV: to be snobbish [PAVC-407]
前途,前途,qiántú,"N: career, prospects, promise of a successful future [PAVC-407]"
合法化,合法化,héfǎhuà,"V: to legalize, to legitimize [PAVC-407]"
謀殺,谋杀,móushā,V: to murder [PAVC-407]
出生,出生,chūshēng,V: to be born [PAVC-407]
智障,智障,zhìzhàng,SV: to be mentally retarded [PAVC-407]
畸型,畸型,jīxíng,"N, SV: deformity, malformation; to be deformed, to have a birth defect [PAVC-407]"
性行為,性行为,xìngxíngwéi,"N: the sex act, sexual behavior; (婚前～) prenuptial intercourse [PAVC-407]"
心中,心中,xīnzhōng,"N: in the heart, in the mind [PAVC-407]"
無法,无法,wúfǎ,"VO: cannot, to be unable to [PAVC-407]"
釋懷,释怀,shìhuái,"VO: to forget, to let go of a problem, to resolve troubles in one's heart [PAVC-407]"
熟悉,熟悉,shóuxī,"V, SV: to know something or somebody well; to be very familiar with [PAVC-407]"
介入,介入,jièrù,"V: to intervene as a third person, to interpose, to get involved [PAVC-407]"
情詩,情诗,qíngshī,N: love poem [PAVC-407]
教,教,jiào,"V: to urge, to ask to [PAVC-407]"
急切,急切,jíqiè,"SV: to be eager, to be impatient, to be in a hurry, to be in a haste [PAVC-408]"
願望,愿望,yuànwàng,"N: desire, wish, aspiration [PAVC-408]"
出乎預料,出乎预料,chūhūyùliào,"VO: to exceed expectations, to be beyond expectation [PAVC-408]"
融洽,融洽,róngqià,"SV: to be on friendly or good terms, with mutual understanding [PAVC-408]"
停住,停住,tíngzhù,RC: to come to a stop [PAVC-408]
重複,重复,chóngfù,"N, V: repetition, reduplication; to repeat, to reduplicate (version with 衤) [PAVC-408]"
參看,参看,cānkàn,"V: to see also, to consult, to read for reference [PAVC-408]"
第三者,第三者,dìsānzhě,"N: third party, disinterested party, tertium quid, the other man or woman [PAVC-408]"
急急忙忙,急急忙忙,jíjímángmáng,"A: hurriedly, in a hurry [PAVC-408]"
抽屜,抽屉,chōutì,N: drawer in a cabinet or desk [PAVC-408]
鈴,铃,líng,N: bell [PAVC-408]
座位,座位,zuòwèi,N: seat [PAVC-408]
文件,文件,wénjiàn,"N: documents, official documents, legal papers [PAVC-408]"
便當,便当,biàndāng,"N, SV: lunch box (loanword from Japanese, specific to Taiwan); to be convenient, to be handy [PAVC-408]"
組裝,组装,zǔzhuāng,V: to assemble and install [PAVC-409]
精品,精品,jīngpǐn,"N: top-quality article, fine work of art, rare and fine goods [PAVC-409]"
對外貿易,对外贸易,duìwàimàoyì,N: foreign trade; (中華民國～發展協會) Taiwan External Trade Development Council (TAITRA) [PAVC-409]
數值,数值,shùzhí,N: numerical value [PAVC-409]
距離,距离,jùlí,"N, V: distance; to be apart or away from [PAVC-409]"
高度,高度,gāodù,"N: altitude, height [PAVC-409]"
長度,长度,chángdù,N: length [PAVC-409]
體重,体重,tǐzhòng,N: body weight [PAVC-409]
空間,空间,kǒngjiān,N: space [PAVC-409]
尺碼,尺码,chǐmǎ,"N: size, dimensions of an object [PAVC-409]"
尺寸,尺寸,chǐcùn,"N: measurement, dimensions [PAVC-409]"
前述,前述,qiánshù,"AT: foresaid, aforementioned, mentioned before [PAVC-409]"
附帶,附带,fùdài,"A, AT, V: in passing; subsidiary, supplementary, secondary; to attach [PAVC-409]"
突顯,突显,tūxiǎn,"SV: to be conspicuous, to be in the limelight [PAVC-409]"
公認,公认,gōngrèn,"V: to generally acknowledge, to generally recognize, to generally accept [PAVC-409]"
不屑,不屑,búxiè,"V: to disdain, to reject as beneath oneself [PAVC-409]"
關閉,关闭,guānbì,"V: to close, to shut down [PAVC-409]"
仲裁,仲裁,zhòngcái,V: to arbitrate [PAVC-409]
賠償,赔偿,péicháng,"N, V: reparations paid by a defeated state; to compensate, to pay for [PAVC-409]"
感慨,感慨,gǎnkǎi,"N, SV, V: emotional excitement; to sigh with emotion [PAVC-409]"
群,群,qún,"N: group, crowd [PAVC-409]"
便利商店,便利商店,biànlìshāngdiàn,N: convenience store [PAVC-409]
幸福,幸福,xìngfú,"N, SV: happiness; to be happy, to be fortunate, to be lucky [PAVC-409]"
十大建設,十大建设,Shí Dà Jiànshè,N: ten grand construction projects sponsored by the Taiwanese government in the late 1970s [PAVC-409]
完成,完成,wánchéng,"RC: to accomplish, to complete, to fulfil [PAVC-409]"
道德,道德,dàodé,"N: morality, ethics, morals [PAVC-409]"
驕傲,骄傲,jiāo'ào,"N, SV, V: pride; to be arrogant, to be conceited; to be proud, to take pride in … [PAVC-409]"
懷念,怀念,huáiniàn,"V: to cherish the memory of …, to think of …, to reminisce [PAVC-409]"
信義,信义,xìnyì,N: good faith; (～快速道路) expressway in Taipei [PAVC-410]
工務局,工务局,gōngwùjú,N: municipal bureau of public works [PAVC-410]
加以,加以,jiāyǐ,"V: to handle, to treat (used before polysyllabic verbs or verbal nouns) [PAVC-410]"
其他,其他,qítā,"PRON: others, the rest [PAVC-410]"
平日,平日,píngrì,"A, N: ordinarily, usually; ordinary days (i.e. not holidays) [PAVC-410]"
方法,方法,fāngfǎ,"N: method, way, means, device, manner, mode principle [PAVC-410]"
花費,花费,huāfèi,"N, V: expenditure, expenses; to spend, to expend [PAVC-410]"
以便,以便,yǐbiàn,"CONJ: so that, so as to, in order to, with the aim of [PAVC-410]"
分別,分别,fēnbié,"A, N, V: separately, respectively; difference; to distinguish, to differentiate [PAVC-410]"
數量詞,数量词,shùliàngcí,"N: expression comprising a numeral and a classifier (measure word), quantifier [PAVC-410]"
量詞,量词,liàngcí,N: classifier (measure word) [PAVC-410]
文物,文物,wénwù,N: cultural and historical objects or relics [PAVC-411]
研討會,研讨会,yántǎohuì,"N: seminar, symposium [PAVC-411]"
金廈,金厦,Jīn Xià,N: Jinmen (Kinmen) and Xiamen (Amoy) [PAVC-411]
著重,著重,zhuózhòng,"V: to stress, to emphasize [PAVC-411]"
與否,与否,yǔfǒu,QW: whether or not (placed at end of sentence) [PAVC-411]
顯而易見,显而易见,xiǎn'éryìjiàn,"IE: obviously, evidently, clearly [PAVC-411]"
次數,次数,cìshù,"N: number of times, frequency [PAVC-411]"
限於,限于,xiànyú,"V: to be confined, to be limited to [PAVC-411]"
包二奶,包二奶,bāo'èrnǎi,"VO: to keep and provide for a concubine or ""second wife"" [PAVC-411]"
劈腿,劈腿,pǐtuǐ,"N, V: trestle; to engage in more than one relationship at the same time [PAVC-411]"
財產,财产,cáichǎn,N: property [PAVC-411]
不要臉,不要脸,búyàoliǎn,SV: to be shameless [PAVC-411]
狐狸精,狐狸精,húlíjīng,"N: fox-spirit, vixen, witch, enchantress, vamp [PAVC-411]"
絕對,绝对,juéduì,"SV: to be absolute, to be perfect, to be definite [PAVC-411]"
沒良心,没良心,méiliángxīn,"VO, SV: to be heartless, to be unconscionable, to be ungrateful [PAVC-411]"
寂寞,寂寞,jìmò,"SV: to be lonely, to be lonesome [PAVC-411]"
體貼,体贴,tǐtiē,SV: to be showing consideration for [PAVC-411]
辦手續,办手续,bànshǒuxù,VO: to go through the procedures [PAVC-411]
談條件,谈条件,tántiáojiàn,VO: to negotiate the settlement terms [PAVC-411]
南京,南京,Nánjīng,N: Nanjing (Nanking) [PAVC-411]
舊衣回收,旧衣回收,jiùyīhuíshōu,N: recycling of old clothes [PAVC-412]
掩埋,掩埋,yǎnmái,V: to bury; (垃圾零～) no refuse disposal in landfill sites (i.e. only recyclable waste) [PAVC-412]
榮耀,荣耀,róngyào,"N: honor, glory [PAVC-412]"
瑞士,瑞士,Ruìshì,N: Switzerland [PAVC-412]
